rank;country;democracy_index;electoral_processand_pluralism;functioning_of_government;political_participation;political_culture;civil_liberties;category
132;Cameroon;3,28;3,17;2,86;3,33;4,38;2,65;Authoritarian
133;Qatar;3,19;0,0;4,29;2,22;5,63;3,82;Authoritarian
=134;Zimbabwe;3,16;0,5;2,0;4,44;5,63;3,24;Authoritarian
=134;Venezuela;3,16;1,67;1,79;4,44;4,38;3,53;Authoritarian
136;Guinea;3,14;3,5;0,43;4,44;4,38;2,94;Authoritarian
137;Belarus;3,13;0,92;2,86;3,89;5,63;2,35;Authoritarian
138;Togo;3,1;3,17;0,79;3,33;5,0;3,24;Authoritarian
139;Vietnam;3,08;0,0;3,21;3,89;5,63;2,65;Authoritarian
140;Oman;3,04;0,0;3,93;2,78;4,38;4,12;Authoritarian
141;Swaziland;3,03;0,92;2,86;2,22;5,63;3,53;Authoritarian
142;Cuba;3,0;1,08;3,57;3,33;4,38;2,65;Authoritarian
143;Afghanistan;2,97;2,92;1,14;4,44;2,5;3,82;Authoritarian
=144;Kazakhstan;2,94;0,5;2,14;4,44;4,38;3,24;Authoritarian
=144;Russia;2,94;2,17;1,79;5,0;2,5;3,24;Authoritarian
146;Djibouti;2,87;0,42;1,79;3,89;5,63;2,65;Authoritarian
147;United Arab Emirates;2,76;0,0;3,93;2,22;5,0;2,65;Authoritarian
148;Bahrain;2,71;0,83;3,21;2,78;4,38;2,35;Authoritarian
149;Azerbaijan;2,65;0,5;2,14;3,33;3,75;3,53;Authoritarian
150;Iran;2,45;0,0;3,21;4,44;3,13;1,47;Authoritarian
=151;Eritrea;2,37;0,0;2,14;1,67;6,88;1,18;Authoritarian
=151;Laos;2,37;0,83;2,86;1,67;5,0;1,47;Authoritarian
153;Burundi;2,33;0,0;0,43;3,89;5,0;2,35;Authoritarian
154;Libya;2,19;1,0;0,36;1,67;5,0;2,94;Authoritarian
155;Sudan;2,15;0,0;1,79;2,78;5,0;1,18;Authoritarian
156;Uzbekistan;2,01;0,08;1,86;2,22;5,0;0,88;Authoritarian
157;Guinea-Bissau;1,98;1,67;0,0;2,78;3,13;2,35;Authoritarian
158;Yemen;1,95;0,0;0,0;3,89;5,0;0,88;Authoritarian
=159;Saudi Arabia;1,93;0,0;2,86;2,22;3,13;1,47;Authoritarian
=159;Tajikistan;1,93;0,08;0,79;1,67;6,25;0,88;Authoritarian
161;Equatorial Guinea;1,92;0,0;0,43;3,33;4,38;1,47;Authoritarian
162;Turkmenistan;1,72;0,0;0,79;2,22;5,0;0,59;Authoritarian
163;Chad;1,61;0,0;0,0;1,67;3,75;2,65;Authoritarian
164;Central African Republic;1,52;2,25;0,0;1,11;1,88;2,35;Authoritarian
165;Democratic Republic of the Congo;1,49;0,5;0,71;2,22;3,13;0,88;Authoritarian
166;Syria;1,43;0,0;0,0;2,78;4,38;0,0;Authoritarian
167;North Korea;1,08;0,0;2,5;1,67;1,25;0,0;Authoritarian
